石块	491000
圞	71200
土	29400000
圜	283000
商户	2550000
郑重	3520000
颠倒	185000
圈	10800000
期望	1970000
圃	344000
圆	2670000
劳作	554000
圄	188000
亲情	1890000
地	30500000
中心	49700000
吾等	1370000
头路	185000
珍	2620000
予	2540000
事	31400000
城市	23800000
二	37800000
于	25200000
云	16500000
亓	288000
些	8430000
亚	11600000
棬	401000
提纲	537000
棒	11600000
亢	543000
棕	969000
亦	10800000
wednesday	39200000
亮	10600000
门首	4180000
人	76200000
僻静	125000
tired	23300000
脸面	1790000
elegant	23500000
second	89000000
联欢	626000
谢意	1060000
不得已	182000
奇妙	2570000
这儿	4000000
难捱	115000
横杠	277000
边框	549000
㑩	6520
hero	46600000
reporter	25300000
interdependent	2520000
here	1550000000
china	23000000
繁杂	534000
希望	24000000
了得	488000
前方	2310000
心思	961000
有权	15500000
神魂	702000
乐事	2760000
反正	1440000
调门	3220000
浏	538000
管龠	42900
蓝色小精灵	310000
每个人	1900000
music	200000000
分析	25800000
劲挺	784
天神	1860000
hold	59900000
块头	3160000
介于	1350000
鼓点子	91700
页岩	448000
反馈	384000
屁话	601000
讯息	828000
生命	13500000
真棒	2210000
how	454000000
hot	93900000
战事	2490000
空空	493000
战争	1470000
唇齿相依	26900
票据	1730000
匀实	236000
beauty	93300000
噪声	289000
哪里	5510000
wrong	66100000
手帐	584000
蓝	10900000
深厚	1900000
轧辊	150000
稀奇古怪	333000
蓺	80600
不偏不倚	195000
月	71800000
朋	1810000
服	25600000
feedback	1270000000
最	44700000
急骤	247000
朝	23900000
期	31200000
朕	441000
朔	905000
朗	3270000
木	28200000
末	13800000
未	36300000
札	1760000
本	64600000
fit	72100000
安好	564000
文静	628000
朳	43800
朵	1550000
这种	16000000
角度	5060000
利得	4970000
silver	84800000
咱们	812000
微笑	2190000
温煦	97400
其后	16600000
现款	2290000
韵致	1020000
校地	2980000
砳	141000
夏天	2120000
楚楚	576000
底子	444000
研	14300000
锦标	507000
崖略	2120
喜吟吟	7480
亲	3110000
砄	30600
气息	1210000
码	25800000
砂	3300000
优良	1400000
伯仲叔季	25400
心里	15600000
侍者	336000
够意思	1600
高	37600000
髞	31600
体恤衫	315000
鉴赏家	244000
短促	267000
汽车	2780000
坚硬	243000
房屋	3200000
川	17500000
十月	1680000
差	17500000
service	350000000
银联	2160000
左	19800000
工	20900000
master	73100000
伟大	2800000
已	29600000
己	2270000
衬衣	216000
衬衫	275000
首领	2530000
是以	2900000
乐滋滋	91000
滴翠	469000
tree	42600000
project	67500000
燠	109000
非正式	119000
feeling	32200000
暸	144000
男童	2090000
偶尔	524000
喜盈盈	119000
东土	1800000
晚餐	1360000
统通	29900
然而	4060000
shale	2020000
letter	42000000
结末	793000
singer	30700000
靓丽	330000
裨益	107000
杆子	38000
思维	1890000
思绪	673000
果若	14900
busy	27100000
成见	207000
喜滋滋	109000
劳累	216000
在此	31500000
够呛	136000
合该	3050
魂魄	735000
气不忿儿	48800
地头	369000
张王李赵	33700
创始人	1200000
閦	46000
言	12100000
嘈杂声	45000
坚冰	176000
坚决	176000
訏	50800
附件	2280000
仿制品	58300
亮堂	143000
技艺	490000
pity	2410000
高塔	3000000
平旦	20900
平日	13700000
伎俩	83300
康健	1100000
少女	20900000
割伤	856000
二八	794000
应该	6260000
失风	1380000
其次	2810000
然顷	89400
much	98200000
灵异	881000
鄙吝	8050
life	129000000
折头	1260
蕉	1090000
飞行	1650000
蕞	566000
独步	797000
定势	219000
诽闻	57600
鬼魅	409000
气概	329000
脸相	752000
皮子	233000
佛爷	248000
嚓	157000
凑手	822000
欢娱	447000
商家	3720000
原因	20300000
嚭	441000
大学	21800000
打从	7500000
事儿	2610000
期限	9980000
男孩子	109000
桓	695000
案	12800000
年纪	2450000
雄伟	685000
层级	3710000
吉祥	1880000
台子	355000
动议	1790000
女的	26800000
之前	6980000
技俩	424000
easy	127000000
prison	35800000
枪托	705000
演讲	703000
桥段	1800000
民宅	412000
附录	1390000
碗	905000
泼贱	74500
shadow	12400000
desire	30900000
棕色	818000
沙子	546000
激情	2570000
碱	788000
碻	40000
脂膏	98400
right	1110000000
old	172000000
crowd	22800000
people	528000000
creed	55600000
回馈	1280000
五月	1820000
for	2320000000
数字	7270000
身态	772000
山岳	2730000
没准儿	7620
今日	30000000
春秋	2030000
勇敢	777000
心路	413000
腔隙	150000
百科	24200000
已经	9870000
限度	2670000
阅读	1710000
